id,nama_makanan,kalori,protein,lemak,karbohidrat
3382,Tart Keju Kambing Kulit Kentang dengan Salad Tomat Pusaka,353.0,11.0,19.0,34.5
3383,Sup Ayam dengan Banyak Sayuran,353.0,25.0,19.0,20.5
3384,Bass Laut Pan-Seared dengan Saus Bit dan Sayuran Bit,353.0,44.0,13.0,15.0
3385,Tortelloni dengan Saus Jamur-Sage,353.0,14.0,26.0,15.75
3386,Risotto Jamur Porcini,353.0,13.0,10.0,52.75
3387,Salad Dua Kacang dengan Vinaigrette Balsamic,352.0,14.0,13.0,44.75
3388,Tumis Daging Sapi dan Brokoli,352.0,31.0,17.0,18.75
3389,"Kerang dengan Sosis, Santan dan Jeruk Nipis",352.0,23.0,24.0,11.0
3390,Pasta Zucchini Panggang dengan Pecorino Walnut Crumble,352.0,15.0,15.0,39.25
3391,Oyek / Beras singkong,351.0,0.9,0.9,84.9
3392,Kentang Tumbuk dengan Keju Biru Krim dan Rosemary,351.0,15.0,14.0,41.25
3393,Sup Ayam Kelapa,351.0,23.0,24.0,10.75
3394,Kerang Kari dan Sup Sayur,350.0,27.0,10.0,38.0
3395,Kerupuk aci,350.0,0.5,0.2,85.9
3396,Kue Keju Keju Petani,350.0,22.0,18.0,25.0
3397,Salad Pepaya Hijau,350.0,11.0,15.0,42.75
3398,Geplak (Bantul),350.0,1.4,14.4,53.6
3399,Roti gambang ,350.0,7.5,2.0,75.5
3400,Potongan Daging Sapi Muda dalam Saus Mustard Marsala,350.0,23.0,22.0,15.0
3401,Couscous Dibumbui dan Dikukus dengan Mentega Coklat,349.0,10.0,10.0,54.75
3402,Sup Seafood dengan Labu,349.0,24.0,18.0,22.75
3403,Ikan Utuh Panggang dengan Saus Tomat-Chili Bakar,349.0,37.0,17.0,12.0
3404,"Nasi Panggang, Keju, dan Casserole Sayur",349.0,12.0,19.0,32.5
3405,Sup Tortila,349.0,26.0,16.0,25.25
3406,Rebusan Jagung dan Okra,349.0,20.0,19.0,24.5
3407,Burger Tuna Herba dengan Tapenade dan Tomat,349.0,40.0,15.0,13.5
3408,Udang Panggang dengan Sambal Serai,348.0,33.0,16.0,18.0
3409,"Tomat, Kacang Hitam, dan Rebusan Paprika",348.0,12.0,20.0,30.0
3410,Kentang Tumbuk dengan Keju Cheddar dan Cabai Poblano,348.0,11.0,15.0,42.25
3411,Ikan asin japuh goreng,348.0,18.7,29.5,0.0
3412,Dodol galamai (Sumatera Barat),348.0,0.4,3.8,76.1
3413,Gratin Akar Kentang dan Seledri dengan Keju Fontina,348.0,13.0,19.0,31.25
3414,Saus Nasi Liar dengan Apel dan Kastanye,348.0,11.0,18.0,35.5
3415,Pai Pot Ayam dan Sayur dengan Kerak Krim Keju,347.0,14.0,25.0,16.5
3416,Gathot (Jawa),347.0,1.3,0.7,83.8
3417,Sagu Lempeng,347.0,0.9,0.3,85.2
3418,Ikan teri goreng tepung,347.0,48.8,6.4,19.6
3419,Portobello Panggang dan Salad Paprika Merah dengan Saus Rosemary,347.0,17.0,21.0,22.5
3420,Roti Jagung dengan Daun Bawang dan Keju Parmesan,347.0,10.0,14.0,45.25
3421,"Sup Kacang Putih, Kentang, dan Arugula",346.0,12.0,25.0,18.25
3422,Daging Sapi Panggang Dibungkus dengan Coleslaw Lobak,345.0,27.0,16.0,23.25
3423,Tuna Bakar dengan Saus Jeruk Oriental,345.0,46.0,10.0,17.75
3424,Emping,345.0,12.0,1.5,71.5
3425,Salad Pir dan Selada Air Asia dengan Saus Wijen,345.0,11.0,19.0,32.5
3426,Cheddar dan Gratin Kentang Tumbuk,345.0,11.0,20.0,30.25
3427,Ikan Cod Pasifik Panggang dengan Sayuran Musim Semi dan Mint,345.0,37.0,15.0,15.5
3428,Salad Tomat Pusaka dengan Mozzarella dan Basil,345.0,15.0,27.0,10.5
3429,Wrap Kacang Hitam dan Sayur,345.0,16.0,15.0,36.5
3430,Salad Udang dan Alpukat dengan Grapefruit Vinaigrette,345.0,11.0,25.0,19.0
3431,"Saus Kacang Buncis, Bawang Putih, dan Peterseli",344.0,11.0,18.0,34.5
3432,"Pizza dengan Sosis, Sauerkraut, dan Keju Swiss",344.0,16.0,17.0,31.75
3433,Sandwich Salad Ayam dengan Keju Biru,344.0,22.0,17.0,25.75
3434,Tahu Serai dengan Jamur,344.0,17.0,26.0,10.5
3435,"Salad Stroberi, Almond, dan Kacang Polong",344.0,13.0,23.0,21.25
3436,Taco Mahi-Mahi Panggang,343.0,26.0,14.0,28.25
3437,Tofu-and-Meat Loaf,343.0,29.0,19.0,14.0
3438,Ikan Bass Laut dengan Tumis Sayuran Jahe,343.0,40.0,14.0,14.25
3439,Gratin Kentang dan Jamur Shiitake,343.0,13.0,21.0,25.5
3440,Sup Ubi Jalar dan Sosis,343.0,14.0,16.0,35.75
3441,Spaetzle Herba dalam Mentega Coklat,343.0,11.0,16.0,38.75
3442,Sup Selada dan Kacang,342.0,11.0,23.0,22.75
3443,Kerupuk ikan,342.0,16.0,0.4,65.6
3444,"Ceviche Udang dengan Wortel, Jeruk, dan Adas",342.0,18.0,15.0,33.75
3445,Krim dari sup brokoli,342.0,13.0,22.0,23.0
3446,salad udang,342.0,28.0,21.0,10.25
3447,Telur Coklat Selai Kacang,342.0,10.0,27.0,14.75
3448,Gratin Ubi Jalar dan Sosis dengan Thyme,342.0,13.0,12.0,45.5
3449,Ricotta dan Strudel Ceri,342.0,10.0,15.0,41.75
3450,Kerang Kukus dengan Tomat dan Roti Bakar Bawang Putih,341.0,25.0,15.0,26.5
3451,Kentang Tumbuk Arugula dan Keju Kambing,341.0,11.0,15.0,40.5
3452,Kotak Ubi Jalar Kari dengan Kerak Phyllo Kacang,341.0,17.0,21.0,21.0
3453,Cumi yang Diasinkan dengan Herba,341.0,18.0,14.0,35.75
3454,Sukiyaki dengan Kakap Merah,341.0,50.0,10.0,12.75
3455,Kentang Tumbuk dengan Sayuran,341.0,14.0,16.0,35.25
3456,Tumis Kale dengan Kerupuk dan Remah Roti Bawang Putih,341.0,12.0,25.0,17.0
3457,Jamur Liar dan Gruyère Tart dengan Salad Herba Segar,341.0,12.0,27.0,12.5
3458,Buah ketapang,340.0,11.0,11.0,54.0
3459,Souffle Ikan Trout Asap dalam Kerak Phyllo,340.0,16.0,23.0,17.25
3460,"Gurita dan Ceci Bean Zuppa dengan Escarole, Bawang Putih, dan Cabai",340.0,30.0,20.0,10.0
3461,Sup Lentil Perancis,340.0,16.0,13.0,39.75
3462,Ayam Renyah Saus Hijau,340.0,11.0,19.0,31.25
3463,Sup Jagung Krim dengan Paprika Merah,340.0,10.0,16.0,39.0
3464,Souffle Mangkuk Roti Tomat dan Mozzarella,339.0,14.0,20.0,25.75
3465,Sup keju Brokoli,339.0,13.0,19.0,29.0
3466,Sarden Segar Panggang dengan Adas dan Lemon Yang Diawetkan,339.0,31.0,18.0,13.25
3467,Mie Soba Wijen dan Salad Sayuran,339.0,10.0,13.0,45.5
3468,Kentang dan Kacang Polong dengan Telur Mint Mimosa,339.0,10.0,17.0,36.5
3469,Ikan Panggang dengan Ratatouille,339.0,36.0,15.0,15.0
3470,Salad Pasta Lemon dengan Tomat dan Feta,338.0,10.0,19.0,31.75
3471,Roti Sendok Escarole dan Keju,338.0,15.0,18.0,29.0
3472,"Gurita Gosong dengan Persik, Arugula, dan Balsamic Tua",338.0,41.0,11.0,18.75
3473,Sup Yogurt Mentimun,338.0,26.0,18.0,18.0
3474,Puding Nasi Labu Jahe,338.0,10.0,11.0,49.75
3475,Sup Wortel dengan Thyme dan Adas,338.0,11.0,22.0,24.0
3476,Jagung dan Fregola dengan Keju Halloumi Panggang,338.0,10.0,19.0,31.75
3477,"Salad Bayam, Pir, dan Kacang Hijau dengan Saus Riesling",338.0,10.0,26.0,16.0
3478,Sup Jeruk Nipis Meksiko,338.0,14.0,21.0,23.25
3479,Gratin Gnocchi dengan Bayam dan Ricotta,338.0,14.0,14.0,39.0
3480,Gazpacho Udang dengan Basil Crouton,338.0,17.0,13.0,38.25
3481,Coleslaw dengan Udang Teluk dan Tarragon,338.0,18.0,24.0,12.5
3482,Sarden kaleng,338.0,21.1,27.0,1.0
3483,"Potongan Daging Ayam Tumis dengan Asparagus, Daun Bawang, dan Peterseli-Tarragon Gremolata",337.0,36.0,17.0,10.0
3484,"Scalloped Squash, Cabai Merah, dan Gratin Jagung dengan Kerak Cheddar",337.0,11.0,20.0,28.25
3485,Roti Kepang Susu Mentega Oat dan Kenari,337.0,11.0,10.0,50.75
3486,Salad Bit dan Mentimun dengan Saus Lobak Krim,337.0,11.0,14.0,41.75
3487,Flan Kelapa,337.0,10.0,14.0,42.75
3488,"Ayam Panggang dengan Timi, Adas, dan Paprika",337.0,14.0,13.0,41.0
3489,Kentang Tumbuk dan Akar Seledri dengan Keju Biru,337.0,12.0,12.0,45.25
3490,Salad Arugula-Chicory dengan Kacang Pinus dan Roti Bakar Keju Kambing,336.0,13.0,26.0,12.5
3491,Kasaran Jeruk dengan Salsa Tomat-Daun Ketumbar,336.0,31.0,15.0,19.25
3492,Roti Jagung Keju Biru,336.0,10.0,13.0,44.75
3493,"Pasta, Sosis, dan Sup Kacang",336.0,13.0,22.0,21.5
3494,Tart Sayuran Musim Semi dan Keju Kambing yang Gurih,335.0,11.0,24.0,18.75
3495,Souffle Bayam dengan Saus Cabai Merah Panggang,335.0,26.0,17.0,19.5
3496,Orak-arik Sayuran dan Biji-bijian,335.0,15.0,24.0,14.75
3497,Souffle Ubi dan Cheddar,335.0,15.0,22.0,19.25
3498,Tamales De Mole Poblano,335.0,22.0,13.0,32.5
3499,Pan Bagna,334.0,19.0,20.0,19.5
3500,"Sup Daging Sapi, Jamur, dan Jelai",334.0,11.0,24.0,18.5
3501,Kerang Kukus dengan Saus Lemon-Saffron,334.0,22.0,16.0,25.5
3502,Kerang dengan Adas dan Mentega Cabai Merah Panggang,334.0,25.0,16.0,22.5
3503,"Sup Kelapa Thailand, Brokoli, dan Ketumbar",334.0,11.0,26.0,14.0
3504,Sup Jagung Dingin dengan Salad Lobster,334.0,28.0,11.0,30.75
3505,Sup Ayam dan Nanas Vietnam,334.0,18.0,12.0,38.5
3506,"Veal Scallops dengan Jamur Liar, Mustard, dan Saus Tarragon",333.0,17.0,24.0,12.25
3507,Salad Orzo,333.0,11.0,18.0,31.75
3508,Bebek Mahoni,333.0,10.0,27.0,12.5
3509,Gyros Ayam dengan Saus Yogurt-Dill,333.0,33.0,11.0,25.5
3510,Kue Keju Kepiting dan Jamur Liar,333.0,12.0,26.0,12.75
3511,Centil,332.0,11.0,3.3,73.0
3512,Kerang dengan Bawang Merah dan Tarragon,332.0,23.0,18.0,19.5
3513,Kue Tortilla Jagung dan Kacang Hitam,332.0,18.0,21.0,17.75
3514,Sup Buncis dengan Arugula,331.0,13.0,14.0,38.25
3515,Kue Tart Kepiting Setan,331.0,10.0,26.0,14.25
3516,Swiss Chard Gratin,331.0,14.0,20.0,23.75
3517,Biskuit Sendok Italia dengan Saus Tomat dan Keju,331.0,16.0,19.0,24.0
3518,Ricotta Kocok dengan Madu dan Campuran Buah Beri,330.0,11.0,17.0,33.25
3519,Kerang dengan Saus Apel-Kari,330.0,17.0,20.0,20.5
3520,Pozole Merah Vegetarian dengan Kacang Merah,330.0,11.0,10.0,49.0
3521,Kerang Kacang Hitam,330.0,29.0,17.0,15.25
3522,Rebusan Quince (Chorosht'e Be),330.0,27.0,12.0,28.5
3523,Mujair acar kuning,330.0,17.8,23.4,12.1
3524,Tumis Artichoke Bayi dengan Tomat Kering Oven dan Saus Hijau Zaitun,330.0,10.0,21.0,25.25
3525,French Toast Isi Marmalade dengan Sirup Jeruk,329.0,11.0,23.0,19.5
3526,Kerang Kari Bakar dengan Zucchini,329.0,32.0,15.0,16.5
3527,Sup Sayuran Skandinavia dengan Udang,329.0,18.0,10.0,41.75
3528,Kerang dalam Saus Romesco,329.0,16.0,23.0,14.5
3529,Ayam Rebus Ara dengan Kenari Berbumbu,329.0,11.0,21.0,24.0
3530,Tahu Telur,328.0,12.6,19.9,24.6
3531,Gulungan Sayuran Musim Panas,328.0,13.0,17.0,30.75
3532,"Salad Lobster dengan Kacang Hijau, Apel, dan Alpukat",328.0,27.0,15.0,21.25
3533,Salad Ayam Kukus dengan Saus Wijen,328.0,18.0,20.0,19.0
3534,Tempe goreng,328.0,18.4,23.2,12.8
3535,Kakap Merah À La Niçoise,328.0,35.0,13.0,17.75
3536,Brokoli Gratin dengan Streusel Mustard-Keju,328.0,13.0,23.0,17.25
3537,Kentang Tumbuk dengan Butiran Moster dan Sosis,327.0,11.0,13.0,41.5
3538,Salad Makanan Laut dengan Selada Sawi Hijau,327.0,37.0,12.0,17.75
3539,Lobster Gulung dengan Lemon Vinaigrette dan Mentega Bawang Putih,327.0,11.0,22.0,21.25
3540,Salad Cincang Yunani-Italia,327.0,10.0,22.0,22.25
3541,Empañadas Iga Asap dan Keju Kambing,327.0,10.0,21.0,24.5
3542,"Paket Taco Hobo dengan Kacang Hitam, Zucchini, dan Jagung",327.0,15.0,11.0,42.0
3543,Kentang Tumbuk dengan Sage dan Keju Cheddar Putih,327.0,11.0,17.0,32.5
3544,Cod Chowder dengan Saffron dan Kentang Fingerling,327.0,37.0,12.0,17.75
3545,Kerang dengan Krim Tarragon dan Selada Mentega Layu,326.0,21.0,19.0,17.75
3546,Swiss Chard dengan Kismis dan Almond,326.0,13.0,25.0,12.25
3547,"Frittata Tomat, Bawang Putih, dan Kentang",326.0,18.0,21.0,16.25
3548,Salmon Pedas dengan Tomat dan Adas Bintang,326.0,38.0,14.0,12.0
3549,"Roti Jagung dengan Kemangi, Paprika Merah Panggang, dan Keju Monterey Jack",326.0,10.0,14.0,40.0
3550,Potongan Daging Ayam Dilapisi Tepung Roti (Aka Ayam Nenek Jody),326.0,35.0,16.0,10.5
3551,"Tian Kaki Domba Panggang di Atas Kentang, Terong, dan Tomat",325.0,26.0,19.0,12.5
3552,Bounty Kacang Hijau Tomat Musim Panas,325.0,10.0,24.0,17.25
3553,Artichoke Dioles dengan Mentega Ikan Teri,324.0,11.0,19.0,27.25
3554,Santan Murni,324.0,4.2,34.3,5.6
3555,Kari Kembang Kol dan Buncis,324.0,14.0,11.0,42.25
3556,Santan (Kelapa Saja),324.0,4.2,34.3,55.6
3557,Beet Cured Lox,324.0,25.0,16.0,20.0
3558,Taco Ceviche Meksiko,324.0,32.0,15.0,15.25
3559,Veal Scallops dengan Jamur dan Rosemary,323.0,24.0,20.0,11.75
3560,Steak Salad Murphy,323.0,23.0,16.0,21.75
3561,Kue tapai,323.0,4.9,11.5,50.1
3562,Sup Zucchini Dingin dengan Udang Lemon-jintan dan Krim Ketumbar,323.0,24.0,15.0,23.0
3563,Scallop Quenelles dengan Saus Tomat Jahe,323.0,23.0,19.0,15.0
3564,Sosis Pedesaan dan Saus Sage,323.0,16.0,23.0,13.0
3565,Pozole Hijau dengan Cod dan Ketumbar,322.0,28.0,10.0,30.0
3566,Bass Laut dengan Salsa Maroko,322.0,33.0,16.0,11.5
3567,Sup Sayuran Provençal (Soupe Au Pistou),322.0,14.0,16.0,30.5
3568,Kerang Provençale,322.0,28.0,18.0,12.0
3569,Cawl (Wales),321.0,12.0,17.0,30.0
3570,Taco Tuna Berkulit Chili,321.0,24.0,16.0,20.25
3571,Rebusan Daging Sapi dalam Panci Kuali,321.0,36.0,12.0,17.25
3572,Paillard Bebek Panggang,321.0,46.0,10.0,11.75
3573,Lempog durian (Sumatera),320.0,3.5,5.7,63.7
3574,Telur bebek ceplok,320.0,15.1,30.5,0.9
3575,Kerang Portugis dengan Linguiça dan Tomat,320.0,24.0,18.0,15.5
3576,Oncom merah goreng tepung,320.0,7.3,18.7,31.0
3577,Kerang Jeruk Nipis,320.0,22.0,16.0,22.0
3578,Sup Jagung Krim Cope dengan Udang dan Jamur Liar,320.0,13.0,23.0,15.25
3579,Pancake Keju Cottage,320.0,17.0,12.0,36.0
3580,Strudel Jamur dan Keju Kambing dengan Sirup Balsamic,320.0,10.0,20.0,25.0
3581,Orzo Zaitun dan Mozzarella,320.0,13.0,14.0,35.5
3582,Ikan Rebus dengan Bayam dalam Saus Cabai-Tomat,320.0,33.0,12.0,20.0
3583,Ikan asin sirinding goreng,319.0,6.9,31.7,0.0
3584,Kerang dengan Krim Kemangi,319.0,28.0,16.0,15.75
3585,Sup Tortellini dan Sosis Italia,319.0,23.0,10.0,34.25
3586,Veal Scallops dengan Lemon dan Caper,319.0,22.0,14.0,26.25
3587,Ikan Bass dengan Saus Bawang dan Jintan,319.0,34.0,14.0,14.25
3588,Kerang Kukus dengan Kari dan Serai,318.0,21.0,18.0,18.0
3589,Udang dan Jamur Saus Tiram Kacang Hitam Pedas,318.0,17.0,22.0,13.0
3590,"Sup Ayam, Jagung, dan Mie dengan Saffron",318.0,38.0,10.0,19.0
3591,Almond Dacquoise dengan Es Krim Stroberi,317.0,10.0,16.0,33.25
3592,Souffle Keju Kambing dalam Cangkir Phyllo dengan Salad Frisée,317.0,10.0,26.0,10.75
3593,Tempura Udang dengan Lemon dan Mayones Zaitun,317.0,14.0,22.0,15.75
3594,Sup Asparagus dan Daun Bawang,317.0,11.0,21.0,21.0
3595,Sup Salmon Asap,317.0,17.0,16.0,26.25
3596,Terrine Sayuran Provencal dan Keju Kambing,317.0,14.0,24.0,11.25
3597,Croustades Paprika Merah dengan Keju Kambing,316.0,11.0,22.0,18.5
3598,Gnocchi Alla Romana,316.0,11.0,20.0,23.0
3599,Kantong Masa Isi dengan Cabai Hijau dan Keju,316.0,10.0,12.0,42.0
3600,Kentang Parsi dengan Telur,315.0,10.0,11.0,44.0
3601,"Rebusan Kerang Asia dengan Kelapa, Jahe dan Jeruk Nipis",315.0,24.0,19.0,12.0
3602,Tumis Udang Terinspirasi Thailand,314.0,19.0,15.0,25.75
3603,Quinoa dengan Mangga dan Yogurt Kari,314.0,10.0,14.0,37.0
3604,Kue Yuca Kakap Merah dengan Mojo De Ajo,314.0,19.0,13.0,30.25
3605,Black Bean Hummus,314.0,12.0,18.0,26.0
3606,Cannelloni Seafood,313.0,21.0,18.0,16.75
3607,Dada Bebek Panggang dengan Saus Balsamic dan Aprikot,313.0,34.0,12.0,17.25
3608,Kebab Bakso Swedia Panggang,313.0,17.0,15.0,27.5
3609,Kentang Scalloped Keju Kambing dengan Bunga Kucai,313.0,10.0,16.0,32.25
3610,Segitiga Amaranth dan Feta Phyllo,313.0,10.0,21.0,21.0
3611,"Kentang Panggang, Bawang Merah, dan Kangkung dengan Saus Bawang Putih Karamel",313.0,13.0,17.0,27.0
3612,Gratin Kerang Tarragon,312.0,17.0,15.0,27.25
3613,Krim Artichoke Yerusalem dan Sup Seledri,311.0,11.0,12.0,39.75
3614,Kepiting Goreng dengan Saus Jeruk Nipis Pedas,311.0,10.0,18.0,27.25
3615,Kembang Kol Dipanggang Dilapisi Tepung Roti,311.0,12.0,20.0,20.75
3616,"Jamur Krim, Bawang Bombai, dan Kubis Brussel",310.0,10.0,22.0,18.0
3617,Ayam Wijen dan Sayur Tumis,310.0,23.0,19.0,11.75
3618,Hand Pies Domba Berbumbu,310.0,14.0,22.0,14.0
3619,Tumis Sayur dengan Saus Bawang Putih-Miso,310.0,15.0,13.0,33.25
3620,Kembang Kol Pedas dengan Udang,309.0,12.0,19.0,22.5
3621,Monkfish Panggang dengan Saus Tomat Saffron dan Celeriac Mash,309.0,36.0,13.0,12.0
3622,Sup Ayam Italia,309.0,25.0,16.0,16.25
3623,"Kerang dengan Daun Bawang, Kunyit, dan Krim",309.0,24.0,15.0,19.5
3624,Sup Escarole dengan Kacang Garbanzo dan Pasta,308.0,11.0,10.0,43.5
3625,Oeufs À La Neige Kapulaga Jahe,308.0,10.0,11.0,42.25
3626,Sup Mie Daging Sapi Cina,308.0,11.0,24.0,12.0
3627,Kue Kepiting dengan Daun Bawang dan Dill,308.0,12.0,12.0,38.0
3628,Burger Cheddar Panggang,307.0,25.0,14.0,20.25
3629,Sop Kentang dan Daun Bawang,307.0,10.0,11.0,42.0
3630,Rebusan Sayur Ala Maroko dengan Saus Yogurt Harissa,307.0,12.0,12.0,37.75
3631,Panggang Sosis dan Paprika,307.0,26.0,17.0,12.5
3632,Kerang Bakar dengan Daun Bawang dan Saus Kaviar,307.0,19.0,18.0,17.25
3633,Krim Kembang Kol dan Sup Stilton,307.0,10.0,20.0,21.75
3634,Oncom hitam goreng tepung,306.7,9.0,18.0,27.0
3635,"Chard Merah, Alpukat, dan Oranye Darah dengan Saus Mangga-Chutney",306.0,10.0,21.0,19.25
3636,Kerang Yunani dan Rebusan Kentang,306.0,13.0,16.0,27.5
3637,Daging Cincang Bawang Merah,306.0,18.0,16.0,22.5
3638,Stew Daging Sapi dan Split Pea a la Persia,305.0,24.0,11.0,27.5
3639,Potpie Lobster,305.0,11.0,16.0,29.25
3640,Kerang dengan Peterseli dan Bawang Putih,305.0,28.0,17.0,10.0
3641,Kerang dengan Sosis Italia Pedas,305.0,29.0,12.0,20.25
3642,Casserole Bawang Hijau,304.0,12.0,11.0,39.25
3643,Kerang dan Udang Kreol,304.0,34.0,12.0,15.0
3644,Telur Salju dengan Custard Pistachio dan Cokelat,304.0,10.0,14.0,34.5
3645,"Tortellini Gratinata dengan Jamur dan Parsnip ""Béchamel",304.0,14.0,18.0,21.5
3646,Kacang Hitam ala Kuba,304.0,14.0,10.0,39.5
3647,Kerang Laut Bakar Di Atas Tumis Bayam dengan Saus Mentega Hoisin,303.0,22.0,16.0,17.75
3648,Kue kepiting,303.0,19.0,17.0,18.5
3649,Wajit,303.0,6.3,2.7,63.3
3650,Udang Rebus dan Endive Krim,303.0,22.0,19.0,11.0
3651,Sup Kubis dengan Apel dan Timi,303.0,10.0,15.0,32.0
3652,Fishcakes Goreng,303.0,11.0,18.0,24.25
3653,"Koktail Udang, Tomat, dan Zaitun",302.0,25.0,18.0,10.0
3654,Brokoli Rebus dengan Zaitun,302.0,14.0,16.0,25.5
3655,Sup Albondigas,302.0,27.0,16.0,12.5
3656,"Swiss Chard, Kismis, dan Tart Kacang Pinus",302.0,13.0,23.0,10.75
3657,Kentang Dua Keju Chunky dengan Bawang Putih dan Pesto,302.0,11.0,16.0,28.5
3658,Sup Tortilla dengan Tortilla Renyah dan Kenikmatan Alpukat,301.0,13.0,19.0,19.5
3659,Sup Mie Ayam Cina dengan Bayam dan Daun Bawang Putih,301.0,24.0,18.0,10.75
3660,"Pizza Radicchio, Fontina, dan Keju Kambing",301.0,13.0,15.0,28.5
3661,Telur bebek dadar,301.0,20.0,23.7,0.0
3662,Veal Scallops dengan Lemon dan Artichoke,301.0,23.0,17.0,14.0
3663,Kue Kerang dengan Mayones Ketumbar-Jeruk Nipis dan Kentang Baru,301.0,30.0,13.0,16.0
3664,Roti Jagung Wajan Zaitun dan Parmesan,301.0,10.0,15.0,31.5
3665,"Sup Ayam, Jeruk Nipis, dan Orzo ala Yucatan",300.0,29.0,10.0,23.5
3666,"Roti Jagung, Sosis, dan Saus Adas",300.0,11.0,12.0,37.0
3667,Sup Adas Bayam,300.0,15.0,15.0,26.25
3668,Bebek goreng,300.0,24.0,20.7,4.5
3669,Gratin Jamur dan Bawang,300.0,11.0,20.0,19.0
3670,"Sup Daging Sapi, Barley, dan Sayuran",299.0,25.0,12.0,22.75
3671,Sup Krim Jagung Butternut dengan Crouton Keju Kambing,299.0,10.0,14.0,33.25
3672,Tomat Panggang dengan Stilton,299.0,11.0,14.0,32.25
3673,Artichoke dengan Keju Kambing,299.0,12.0,23.0,11.0
3674,Roti Keju Zuder,299.0,14.0,15.0,27.0
3675,Fricassée Asparagus Panggang dan Jamur Liar,298.0,16.0,14.0,27.0
3676,Sup Tomat dan Bayam,298.0,11.0,21.0,16.25
3677,Chowder Ayam Asap,298.0,11.0,22.0,14.0
3678,Sup Lentil Merah Berasap dengan Roti Bakar Cheddar,298.0,16.0,13.0,29.25
3679,Kubis Mustard Isi Asam Manis,298.0,21.0,11.0,28.75
3680,Salad Jagung Panggang dan Udang,298.0,15.0,14.0,28.0
3681,Ayam goreng tepung (dada),298.0,34.2,16.8,0.1
3682,Fillet Ikan dengan Saus Tomat-Zucchini,298.0,37.0,11.0,12.75
3683,Kerang Kari Goan,298.0,34.0,11.0,15.75
3684,Ayam goreng tepung (sayap),297.0,35.9,15.2,1.6
3685,Jamur Portobello Diisi dengan Kentang Kocok Parmesan,297.0,13.0,13.0,32.0
3686,Bakso Ayam Barbekyu,297.0,16.0,12.0,31.25
3687,Udang dan Paprika dalam Saus Tomat Pedas,296.0,29.0,10.0,22.5
3688,"Casserole Artichoke, Kentang, dan Jamur Portobello",296.0,13.0,13.0,31.75
3689,Halibut Gaya Osso Buco dan Kentang Kocok dengan Bumbu,296.0,31.0,11.0,18.25
3690,Kue pia,296.0,1.4,1.4,66.4
3691,"Tumpukan Polenta dengan Terong, Tomat, dan Mozzarella",296.0,13.0,17.0,22.75
3692,Bandeng presto,296.0,17.1,20.3,11.3
3693,"Ikan Mahi-Mahi dengan Blood Orange, Alpukat, dan Salsa Bawang Merah",296.0,33.0,11.0,16.25
3694,Udang dengan Masala Berbumbu dan Santan,296.0,19.0,20.0,10.0
3695,Grits Keju Panggang,295.0,12.0,18.0,21.25
3696,Rarawuan,295.0,7.3,8.5,47.5
3697,Kue Ikan Trout Asap dengan Krim Lobak,295.0,15.0,15.0,25.0
3698,Kari Ayam dan Apel,295.0,17.0,16.0,20.75
3699,Semolina dan Bayam Gratin,294.0,16.0,13.0,28.25
3700,Osso Buco Sapi,294.0,20.0,18.0,13.0
3701,Sandwich Selai Kacang dan Pisang,294.0,10.0,11.0,38.75
3702,Kerang Dingin dengan Saus Ketumbar Tomat,294.0,23.0,15.0,16.75
3703,Kue Ikan New England dengan Saus Tartar Berbumbu,293.0,30.0,13.0,14.0
3704,Gravlax dengan Saus Mustard,293.0,15.0,20.0,13.25
3705,Salad Daging Sapi ala Vietnam,292.0,20.0,11.0,28.25
3706,Gratin Labu Butternut dengan Remah Roti Rosemary,292.0,10.0,13.0,33.75
3707,Karoket sunda,292.0,11.2,11.2,2.8
3708,Salad Kacang Merah dengan Kenari dan Ketumbar,292.0,12.0,12.0,34.0
3709,Sup Bawang dan Adas Gosong,292.0,10.0,16.0,27.0
3710,Cokelat Panas Kayu Manis,291.0,10.0,13.0,33.5
3711,"Ikan Asap dengan Saus Mustard, Dill dan Caper",291.0,17.0,10.0,33.25
3712,"Ikan Cod Garam, Adas, dan Cannelloni Kentang",291.0,19.0,11.0,29.0
3713,Bubur Jagung dengan Udang dan Paprika Merah Panggang,291.0,14.0,14.0,27.25
3714,Sandwich Ayam ala Meksiko,291.0,21.0,17.0,13.5
3715,Sup Paprika Kuning,291.0,10.0,16.0,26.75
3716,Sagu Forno,291.0,0.5,4.0,63.4
3717,"Tumis Fillet Bass dengan Jamur, Daun Bawang, dan Kedelai",290.0,38.0,10.0,12.0
3718,Brokoli dan Selada Kubis Brussel,290.0,10.0,21.0,15.25
3719,Kakap Merah Panggang dan Mangga dengan Vinaigrette Daun Ketumbar-Jeruk Nipis,290.0,10.0,21.0,15.25
3720,Taco Ikan,290.0,24.0,10.0,26.0
3721,Ikan Bakar ala Jepang,290.0,36.0,10.0,14.0
3722,Udang Kari Renyah,289.0,25.0,15.0,13.5
3723,Flounder Dibungkus Bayam dan Salad Lentil Hangat dengan Saus Yogurt Mentimun,289.0,18.0,12.0,27.25
3724,Sup Tunisia dengan Chard dan Mie Telur,289.0,13.0,17.0,21.0
3725,"Salad Udang dan Mentimun Manis, Asam, dan Pedas",289.0,18.0,18.0,13.75
3726,Onde-onde,288.6,8.3,8.9,44.3
3727,Panggang Tiram dengan Crouton Lada,288.0,15.0,11.0,32.25
