Name,Calories,Fat_g,Carbs_g,Protein_g,Serving_Size_g
Sup Lentil Perancis,340.0,1.2,39.8,16.0,100.0
Ayam Renyah Saus Hijau,340.0,12.4,31.2,11.0,100.0
Sup Jagung Krim dengan Paprika Merah,340.0,14.3,39.0,10.0,100.0
Souffle Mangkuk Roti Tomat dan Mozzarella,339.0,29.6,25.8,14.0,100.0
Sup keju Brokoli,339.0,2.3,29.0,13.0,100.0
Sarden Segar Panggang dengan Adas dan Lemon Yang Diawetkan,339.0,8.0,13.2,31.0,100.0
Mie Soba Wijen dan Salad Sayuran,339.0,9.1,45.5,10.0,100.0
Kentang dan Kacang Polong dengan Telur Mint Mimosa,339.0,14.6,36.5,10.0,100.0
Ikan Panggang dengan Ratatouille,339.0,3.3,15.0,36.0,100.0
Salad Pasta Lemon dengan Tomat dan Feta,338.0,2.7,31.8,10.0,100.0
Roti Sendok Escarole dan Keju,338.0,18.9,29.0,15.0,100.0
"Gurita Gosong dengan Persik, Arugula, dan Balsamic Tua",338.0,9.7,18.8,41.0,100.0
Sup Yogurt Mentimun,338.0,4.7,18.0,26.0,100.0
Puding Nasi Labu Jahe,338.0,5.0,49.8,10.0,100.0
Sup Wortel dengan Thyme dan Adas,338.0,3.3,24.0,11.0,100.0
Jagung dan Fregola dengan Keju Halloumi Panggang,338.0,13.5,31.8,10.0,100.0
Sagu Ambon,338.0,10.2,83.1,0.6,100.0
"Salad Bayam, Pir, dan Kacang Hijau dengan Saus Riesling",338.0,5.0,16.0,10.0,100.0
Gaplek,338.0,6.0,81.3,1.5,100.0
Sup Jeruk Nipis Meksiko,338.0,4.1,23.2,14.0,100.0
Gratin Gnocchi dengan Bayam dan Ricotta,338.0,18.6,39.0,14.0,100.0
Gazpacho Udang dengan Basil Crouton,338.0,1.2,38.2,17.0,100.0
Coleslaw dengan Udang Teluk dan Tarragon,338.0,3.6,12.5,18.0,100.0
Kue bangket,338.0,28.4,80.3,1.5,100.0
Sarden kaleng,338.0,6.1,1.0,21.1,100.0
"Potongan Daging Ayam Tumis dengan Asparagus, Daun Bawang, dan Peterseli-Tarragon Gremolata",337.0,2.4,10.0,36.0,100.0
"Scalloped Squash, Cabai Merah, dan Gratin Jagung dengan Kerak Cheddar",337.0,8.6,28.2,11.0,100.0
Roti Kepang Susu Mentega Oat dan Kenari,337.0,11.2,50.8,11.0,100.0
Salad Bit dan Mentimun dengan Saus Lobak Krim,337.0,5.2,41.8,11.0,100.0
Flan Kelapa,337.0,11.9,42.8,10.0,100.0
"Ayam Panggang dengan Timi, Adas, dan Paprika",337.0,10.0,41.0,14.0,100.0
Kentang Tumbuk dan Akar Seledri dengan Keju Biru,337.0,11.8,45.2,12.0,100.0
Salad Arugula-Chicory dengan Kacang Pinus dan Roti Bakar Keju Kambing,336.0,17.8,12.5,13.0,100.0
Kasaran Jeruk dengan Salsa Tomat-Daun Ketumbar,336.0,1.5,19.2,31.0,100.0
Roti Jagung Keju Biru,336.0,18.6,44.8,10.0,100.0
Susu Kental Manis,336.0,7.2,55.0,8.2,100.0
"Pasta, Sosis, dan Sup Kacang",336.0,2.4,21.5,13.0,100.0
Tart Sayuran Musim Semi dan Keju Kambing yang Gurih,335.0,13.1,18.8,11.0,100.0
Souffle Bayam dengan Saus Cabai Merah Panggang,335.0,14.4,19.5,26.0,100.0
Orak-arik Sayuran dan Biji-bijian,335.0,10.4,14.8,15.0,100.0
Risoles,335.0,8.9,70.5,5.3,100.0
Souffle Ubi dan Cheddar,335.0,14.8,19.2,15.0,100.0
Tamales De Mole Poblano,335.0,11.3,32.5,22.0,100.0
Pan Bagna,334.0,13.6,19.5,19.0,100.0
"Sup Daging Sapi, Jamur, dan Jelai",334.0,1.2,18.5,11.0,100.0
Kerang Kukus dengan Saus Lemon-Saffron,334.0,0.0,25.5,22.0,100.0
Kerang dengan Adas dan Mentega Cabai Merah Panggang,334.0,8.0,22.5,25.0,100.0
"Sup Kelapa Thailand, Brokoli, dan Ketumbar",334.0,2.7,14.0,11.0,100.0
Sup Jagung Dingin dengan Salad Lobster,334.0,3.7,30.8,28.0,100.0
Sup Ayam dan Nanas Vietnam,334.0,4.3,38.5,18.0,100.0
"Veal Scallops dengan Jamur Liar, Mustard, dan Saus Tarragon",333.0,9.0,12.2,17.0,100.0
Salad Orzo,333.0,1.9,31.8,11.0,100.0
Bebek Mahoni,333.0,6.0,12.5,10.0,100.0
Gyros Ayam dengan Saus Yogurt-Dill,333.0,15.4,25.5,33.0,100.0
Kue Keju Kepiting dan Jamur Liar,333.0,23.7,12.8,12.0,100.0
Centil,332.0,9.1,73.0,11.0,100.0
Kerang dengan Bawang Merah dan Tarragon,332.0,2.3,19.5,23.0,100.0
Kue Tortilla Jagung dan Kacang Hitam,332.0,13.7,17.8,18.0,100.0
Dodol kedondong,331.0,7.1,63.8,1.9,100.0
Sup Buncis dengan Arugula,331.0,4.7,38.2,13.0,100.0
Kue Tart Kepiting Setan,331.0,20.5,14.2,10.0,100.0
Swiss Chard Gratin,331.0,5.3,23.8,14.0,100.0
Biskuit Sendok Italia dengan Saus Tomat dan Keju,331.0,27.9,24.0,16.0,100.0
Ricotta Kocok dengan Madu dan Campuran Buah Beri,330.0,9.1,33.2,11.0,100.0
Kerang dengan Saus Apel-Kari,330.0,12.0,20.5,17.0,100.0
Pozole Merah Vegetarian dengan Kacang Merah,330.0,13.0,49.0,11.0,100.0
Kerang Kacang Hitam,330.0,6.7,15.2,29.0,100.0
Rebusan Quince (Chorosht'e Be),330.0,1.4,28.5,27.0,100.0
Mujair acar kuning,330.0,12.5,12.1,17.8,100.0
Tumis Artichoke Bayi dengan Tomat Kering Oven dan Saus Hijau Zaitun,330.0,3.5,25.2,10.0,100.0
French Toast Isi Marmalade dengan Sirup Jeruk,329.0,0.9,19.5,11.0,100.0
Kerang Kari Bakar dengan Zucchini,329.0,10.6,16.5,32.0,100.0
Sup Sayuran Skandinavia dengan Udang,329.0,1.6,41.8,18.0,100.0
Kerang dalam Saus Romesco,329.0,6.7,14.5,16.0,100.0
Ayam Rebus Ara dengan Kenari Berbumbu,329.0,1.7,24.0,11.0,100.0
Tahu Telur,328.0,11.7,24.6,12.6,100.0
Gulungan Sayuran Musim Panas,328.0,11.4,30.8,13.0,100.0
"Salad Lobster dengan Kacang Hijau, Apel, dan Alpukat",328.0,3.2,21.2,27.0,100.0
Salad Ayam Kukus dengan Saus Wijen,328.0,1.3,19.0,18.0,100.0
Tempe goreng,328.0,13.5,12.8,18.4,100.0
Kakap Merah À La Niçoise,328.0,8.3,17.8,35.0,100.0
Brokoli Gratin dengan Streusel Mustard-Keju,328.0,12.6,17.2,13.0,100.0
Kentang Tumbuk dengan Butiran Moster dan Sosis,327.0,13.0,41.5,11.0,100.0
Salad Makanan Laut dengan Selada Sawi Hijau,327.0,3.5,17.8,37.0,100.0
Lobster Gulung dengan Lemon Vinaigrette dan Mentega Bawang Putih,327.0,13.8,21.2,11.0,100.0
Salad Cincang Yunani-Italia,327.0,4.1,22.2,10.0,100.0
Empañadas Iga Asap dan Keju Kambing,327.0,20.0,24.5,10.0,100.0
"Paket Taco Hobo dengan Kacang Hitam, Zucchini, dan Jagung",327.0,14.9,42.0,15.0,100.0
Kentang Tumbuk dengan Sage dan Keju Cheddar Putih,327.0,9.5,32.5,11.0,100.0
Cod Chowder dengan Saffron dan Kentang Fingerling,327.0,14.2,17.8,37.0,100.0
Kerang dengan Krim Tarragon dan Selada Mentega Layu,326.0,8.4,17.8,21.0,100.0
Swiss Chard dengan Kismis dan Almond,326.0,13.8,12.2,13.0,100.0
"Frittata Tomat, Bawang Putih, dan Kentang",326.0,8.9,16.2,18.0,100.0
Salmon Pedas dengan Tomat dan Adas Bintang,326.0,8.8,12.0,38.0,100.0
"Roti Jagung dengan Kemangi, Paprika Merah Panggang, dan Keju Monterey Jack",326.0,12.3,40.0,10.0,100.0
Potongan Daging Ayam Dilapisi Tepung Roti (Aka Ayam Nenek Jody),326.0,19.5,10.5,35.0,100.0
"Tian Kaki Domba Panggang di Atas Kentang, Terong, dan Tomat",325.0,7.6,12.5,26.0,100.0
Bounty Kacang Hijau Tomat Musim Panas,325.0,6.6,17.2,10.0,100.0
Artichoke Dioles dengan Mentega Ikan Teri,324.0,10.2,27.2,11.0,100.0
Santan Murni,324.0,13.0,5.6,4.2,100.0
Kari Kembang Kol dan Buncis,324.0,13.3,42.2,14.0,100.0
Santan (Kelapa Saja),324.0,9.6,55.6,4.2,100.0
Beet Cured Lox,324.0,9.2,20.0,25.0,100.0
Taco Ceviche Meksiko,324.0,6.4,15.2,32.0,100.0
Veal Scallops dengan Jamur dan Rosemary,323.0,5.6,11.8,24.0,100.0
Steak Salad Murphy,323.0,9.1,21.8,23.0,100.0
Kue tapai,323.0,21.2,50.1,4.9,100.0
Sup Zucchini Dingin dengan Udang Lemon-jintan dan Krim Ketumbar,323.0,12.3,23.0,24.0,100.0
Scallop Quenelles dengan Saus Tomat Jahe,323.0,5.3,15.0,23.0,100.0
Sosis Pedesaan dan Saus Sage,323.0,14.0,13.0,16.0,100.0
Pozole Hijau dengan Cod dan Ketumbar,322.0,14.5,30.0,28.0,100.0
Bass Laut dengan Salsa Maroko,322.0,12.3,11.5,33.0,100.0
Sup Sayuran Provençal (Soupe Au Pistou),322.0,0.6,30.5,14.0,100.0
Cawl (Wales),321.0,6.5,30.0,12.0,100.0
Taco Tuna Berkulit Chili,321.0,3.1,20.2,24.0,100.0
Rebusan Daging Sapi dalam Panci Kuali,321.0,2.0,17.2,36.0,100.0
Paillard Bebek Panggang,321.0,5.9,11.8,46.0,100.0
Lempog durian (Sumatera),320.0,13.3,63.7,3.5,100.0
Telur bebek ceplok,320.0,14.6,0.9,15.1,100.0
Kerang Portugis dengan Linguiça dan Tomat,320.0,6.2,15.5,24.0,100.0
Oncom merah goreng tepung,320.0,11.8,31.0,7.3,100.0
Kerang Jeruk Nipis,320.0,0.9,22.0,22.0,100.0
Sup Jagung Krim Cope dengan Udang dan Jamur Liar,320.0,14.1,15.2,13.0,100.0
Pancake Keju Cottage,320.0,22.8,36.0,17.0,100.0
Strudel Jamur dan Keju Kambing dengan Sirup Balsamic,320.0,14.5,25.0,10.0,100.0
Orzo Zaitun dan Mozzarella,320.0,9.6,35.5,13.0,100.0
Ikan Rebus dengan Bayam dalam Saus Cabai-Tomat,320.0,0.1,20.0,33.0,100.0
Ikan asin sirinding goreng,319.0,11.5,0.0,6.9,100.0
Kerang dengan Krim Kemangi,319.0,5.4,15.8,28.0,100.0
Sup Tortellini dan Sosis Italia,319.0,2.9,34.2,23.0,100.0
Veal Scallops dengan Lemon dan Caper,319.0,10.3,26.2,22.0,100.0
Ikan Bass dengan Saus Bawang dan Jintan,319.0,9.6,14.2,34.0,100.0
Kerang Kukus dengan Kari dan Serai,318.0,1.1,18.0,21.0,100.0
Udang dan Jamur Saus Tiram Kacang Hitam Pedas,318.0,5.2,13.0,17.0,100.0
"Sup Ayam, Jagung, dan Mie dengan Saffron",318.0,4.3,19.0,38.0,100.0
Almond Dacquoise dengan Es Krim Stroberi,317.0,13.6,33.2,10.0,100.0
Souffle Keju Kambing dalam Cangkir Phyllo dengan Salad Frisée,317.0,7.9,10.8,10.0,100.0
Tempura Udang dengan Lemon dan Mayones Zaitun,317.0,5.7,15.8,14.0,100.0
Sup Asparagus dan Daun Bawang,317.0,4.7,21.0,11.0,100.0
Sup Salmon Asap,317.0,4.7,26.2,17.0,100.0
Terrine Sayuran Provencal dan Keju Kambing,317.0,15.4,11.2,14.0,100.0
Croustades Paprika Merah dengan Keju Kambing,316.0,13.0,18.5,11.0,100.0
Gnocchi Alla Romana,316.0,7.8,23.0,11.0,100.0
Kantong Masa Isi dengan Cabai Hijau dan Keju,316.0,14.9,42.0,10.0,100.0
Kentang Parsi dengan Telur,315.0,9.7,44.0,10.0,100.0
"Rebusan Kerang Asia dengan Kelapa, Jahe dan Jeruk Nipis",315.0,0.3,12.0,24.0,100.0
Tumis Udang Terinspirasi Thailand,314.0,7.3,25.8,19.0,100.0
Quinoa dengan Mangga dan Yogurt Kari,314.0,9.5,37.0,10.0,100.0
Kue Yuca Kakap Merah dengan Mojo De Ajo,314.0,18.5,30.2,19.0,100.0
Black Bean Hummus,314.0,10.6,26.0,12.0,100.0
Cannelloni Seafood,313.0,8.6,16.8,21.0,100.0
Dada Bebek Panggang dengan Saus Balsamic dan Aprikot,313.0,12.4,17.2,34.0,100.0
Kebab Bakso Swedia Panggang,313.0,5.9,27.5,17.0,100.0
Kentang Scalloped Keju Kambing dengan Bunga Kucai,313.0,13.7,32.2,10.0,100.0
Segitiga Amaranth dan Feta Phyllo,313.0,12.0,21.0,10.0,100.0
"Kentang Panggang, Bawang Merah, dan Kangkung dengan Saus Bawang Putih Karamel",313.0,6.6,27.0,13.0,100.0
Gratin Kerang Tarragon,312.0,9.2,27.2,17.0,100.0
Krim Artichoke Yerusalem dan Sup Seledri,311.0,10.5,39.8,11.0,100.0
Kepiting Goreng dengan Saus Jeruk Nipis Pedas,311.0,12.9,27.2,10.0,100.0
Kembang Kol Dipanggang Dilapisi Tepung Roti,311.0,14.5,20.8,12.0,100.0
"Jamur Krim, Bawang Bombai, dan Kubis Brussel",310.0,11.9,18.0,10.0,100.0
Ayam Wijen dan Sayur Tumis,310.0,3.4,11.8,23.0,100.0
Hand Pies Domba Berbumbu,310.0,22.9,14.0,14.0,100.0
Tumis Sayur dengan Saus Bawang Putih-Miso,310.0,5.6,33.2,15.0,100.0
Kembang Kol Pedas dengan Udang,309.0,7.7,22.5,12.0,100.0
Monkfish Panggang dengan Saus Tomat Saffron dan Celeriac Mash,309.0,2.7,12.0,36.0,100.0
Sup Ayam Italia,309.0,3.7,16.2,25.0,100.0
"Kerang dengan Daun Bawang, Kunyit, dan Krim",309.0,5.1,19.5,24.0,100.0
Sup Escarole dengan Kacang Garbanzo dan Pasta,308.0,3.2,43.5,11.0,100.0
Oeufs À La Neige Kapulaga Jahe,308.0,11.2,42.2,10.0,100.0
Sup Mie Daging Sapi Cina,308.0,3.5,12.0,11.0,100.0
Kue Kepiting dengan Daun Bawang dan Dill,308.0,19.8,38.0,12.0,100.0
Burger Cheddar Panggang,307.0,12.3,20.2,25.0,100.0
Sop Kentang dan Daun Bawang,307.0,11.7,42.0,10.0,100.0
Rebusan Sayur Ala Maroko dengan Saus Yogurt Harissa,307.0,1.4,37.8,12.0,100.0
Panggang Sosis dan Paprika,307.0,7.5,12.5,26.0,100.0
Kerang Bakar dengan Daun Bawang dan Saus Kaviar,307.0,10.4,17.2,19.0,100.0
Pastel,307.0,13.6,42.4,4.5,100.0
Krim Kembang Kol dan Sup Stilton,307.0,11.6,21.8,10.0,100.0
Oncom hitam goreng tepung,306.7,9.3,27.0,9.0,100.0
"Chard Merah, Alpukat, dan Oranye Darah dengan Saus Mangga-Chutney",306.0,1.6,19.2,10.0,100.0
Kerang Yunani dan Rebusan Kentang,306.0,0.9,27.5,13.0,100.0
Daging Cincang Bawang Merah,306.0,11.0,22.5,18.0,100.0
Stew Daging Sapi dan Split Pea a la Persia,305.0,13.2,27.5,24.0,100.0
Potpie Lobster,305.0,15.0,29.2,11.0,100.0
Kerang dengan Peterseli dan Bawang Putih,305.0,5.6,10.0,28.0,100.0
Kerang dengan Sosis Italia Pedas,305.0,4.8,20.2,29.0,100.0
Casserole Bawang Hijau,304.0,9.1,39.2,12.0,100.0
Kerang dan Udang Kreol,304.0,1.8,15.0,34.0,100.0
Kue putu cangkir,304.0,26.9,54.9,5.3,100.0
Telur Salju dengan Custard Pistachio dan Cokelat,304.0,9.0,34.5,10.0,100.0
"Tortellini Gratinata dengan Jamur dan Parsnip ""Béchamel",304.0,7.1,21.5,14.0,100.0
Kacang Hitam ala Kuba,304.0,5.5,39.5,14.0,100.0
Kerang Laut Bakar Di Atas Tumis Bayam dengan Saus Mentega Hoisin,303.0,17.5,17.8,22.0,100.0
Wajit,303.0,9.6,63.3,6.3,100.0
Udang Rebus dan Endive Krim,303.0,3.7,11.0,22.0,100.0
Sup Kubis dengan Apel dan Timi,303.0,4.0,32.0,10.0,100.0
Fishcakes Goreng,303.0,10.8,24.2,11.0,100.0
"Koktail Udang, Tomat, dan Zaitun",302.0,5.5,10.0,25.0,100.0
Brokoli Rebus dengan Zaitun,302.0,0.9,25.5,14.0,100.0
Sup Albondigas,302.0,3.9,12.5,27.0,100.0
"Swiss Chard, Kismis, dan Tart Kacang Pinus",302.0,7.5,10.8,13.0,100.0
Kentang Dua Keju Chunky dengan Bawang Putih dan Pesto,302.0,14.9,28.5,11.0,100.0
Sup Tortilla dengan Tortilla Renyah dan Kenikmatan Alpukat,301.0,0.9,19.5,13.0,100.0
Sup Mie Ayam Cina dengan Bayam dan Daun Bawang Putih,301.0,3.4,10.8,24.0,100.0
"Pizza Radicchio, Fontina, dan Keju Kambing",301.0,19.8,28.5,13.0,100.0
Telur bebek dadar,301.0,13.7,0.0,20.0,100.0
Veal Scallops dengan Lemon dan Artichoke,301.0,13.8,14.0,23.0,100.0
Kue Kerang dengan Mayones Ketumbar-Jeruk Nipis dan Kentang Baru,301.0,28.2,16.0,30.0,100.0
Roti Jagung Wajan Zaitun dan Parmesan,301.0,28.3,31.5,10.0,100.0
"Sup Ayam, Jeruk Nipis, dan Orzo ala Yucatan",300.0,1.3,23.5,29.0,100.0
"Roti Jagung, Sosis, dan Saus Adas",300.0,15.8,37.0,11.0,100.0
Sup Adas Bayam,300.0,1.5,26.2,15.0,100.0
Bebek goreng,300.0,10.2,4.5,24.0,100.0
Gratin Jamur dan Bawang,300.0,14.1,19.0,11.0,100.0
"Sup Daging Sapi, Barley, dan Sayuran",299.0,0.4,22.8,25.0,100.0
Sup Krim Jagung Butternut dengan Crouton Keju Kambing,299.0,10.7,33.2,10.0,100.0
Tomat Panggang dengan Stilton,299.0,14.0,32.2,11.0,100.0
Artichoke dengan Keju Kambing,299.0,15.7,11.0,12.0,100.0
Roti Keju Zuder,299.0,25.8,27.0,14.0,100.0
Dodol bali,298.0,5.1,65.9,3.7,100.0
Fricassée Asparagus Panggang dan Jamur Liar,298.0,8.0,27.0,16.0,100.0
Sup Tomat dan Bayam,298.0,0.2,16.2,11.0,100.0
Chowder Ayam Asap,298.0,14.3,14.0,11.0,100.0
Sup Lentil Merah Berasap dengan Roti Bakar Cheddar,298.0,5.1,29.2,16.0,100.0
Kubis Mustard Isi Asam Manis,298.0,11.2,28.8,21.0,100.0
Salad Jagung Panggang dan Udang,298.0,13.3,28.0,15.0,100.0
Ayam goreng tepung (dada),298.0,22.8,0.1,34.2,100.0
Fillet Ikan dengan Saus Tomat-Zucchini,298.0,2.9,12.8,37.0,100.0
Kerang Kari Goan,298.0,12.6,15.8,34.0,100.0
Ayam goreng tepung (sayap),297.0,21.6,1.6,35.9,100.0
Jamur Portobello Diisi dengan Kentang Kocok Parmesan,297.0,12.3,32.0,13.0,100.0
Bakso Ayam Barbekyu,297.0,18.4,31.2,16.0,100.0
Udang dan Paprika dalam Saus Tomat Pedas,296.0,5.2,22.5,29.0,100.0
"Casserole Artichoke, Kentang, dan Jamur Portobello",296.0,6.3,31.8,13.0,100.0
Halibut Gaya Osso Buco dan Kentang Kocok dengan Bumbu,296.0,7.8,18.2,31.0,100.0
Kue pia,296.0,13.1,66.4,1.4,100.0
"Tumpukan Polenta dengan Terong, Tomat, dan Mozzarella",296.0,11.4,22.8,13.0,100.0
Bandeng presto,296.0,11.2,11.3,17.1,100.0
"Ikan Mahi-Mahi dengan Blood Orange, Alpukat, dan Salsa Bawang Merah",296.0,0.2,16.2,33.0,100.0
Udang dengan Masala Berbumbu dan Santan,296.0,5.6,10.0,19.0,100.0
Grits Keju Panggang,295.0,14.8,21.2,12.0,100.0
Rarawuan,295.0,13.7,47.5,7.3,100.0
Kue Ikan Trout Asap dengan Krim Lobak,295.0,22.3,25.0,15.0,100.0
Kari Ayam dan Apel,295.0,9.8,20.8,17.0,100.0
Semolina dan Bayam Gratin,294.0,10.2,28.2,16.0,100.0
Osso Buco Sapi,294.0,10.6,13.0,20.0,100.0
Sandwich Selai Kacang dan Pisang,294.0,13.7,38.8,10.0,100.0
Kerang Dingin dengan Saus Ketumbar Tomat,294.0,1.6,16.8,23.0,100.0
Kue Ikan New England dengan Saus Tartar Berbumbu,293.0,15.1,14.0,30.0,100.0
Gravlax dengan Saus Mustard,293.0,8.5,13.2,15.0,100.0
Salad Daging Sapi ala Vietnam,292.0,6.8,28.2,20.0,100.0
Gratin Labu Butternut dengan Remah Roti Rosemary,292.0,13.6,33.8,10.0,100.0
Karoket sunda,292.0,14.6,2.8,11.2,100.0
Salad Kacang Merah dengan Kenari dan Ketumbar,292.0,2.6,34.0,12.0,100.0
Sup Bawang dan Adas Gosong,292.0,4.4,27.0,10.0,100.0
Cokelat Panas Kayu Manis,291.0,10.7,33.5,10.0,100.0
"Ikan Asap dengan Saus Mustard, Dill dan Caper",291.0,10.8,33.2,17.0,100.0
"Ikan Cod Garam, Adas, dan Cannelloni Kentang",291.0,8.3,29.0,19.0,100.0
Kue lumpur,291.0,20.6,44.1,3.6,100.0
Bubur Jagung dengan Udang dan Paprika Merah Panggang,291.0,8.2,27.2,14.0,100.0
Sandwich Ayam ala Meksiko,291.0,11.2,13.5,21.0,100.0
Sup Paprika Kuning,291.0,4.5,26.8,10.0,100.0
Sagu Forno,291.0,7.5,63.4,0.5,100.0
"Tumis Fillet Bass dengan Jamur, Daun Bawang, dan Kedelai",290.0,2.0,12.0,38.0,100.0
Brokoli dan Selada Kubis Brussel,290.0,11.9,15.2,10.0,100.0
Kakap Merah Panggang dan Mangga dengan Vinaigrette Daun Ketumbar-Jeruk Nipis,290.0,5.7,15.2,10.0,100.0
Taco Ikan,290.0,2.5,26.0,24.0,100.0
Ikan Bakar ala Jepang,290.0,5.5,14.0,36.0,100.0
Udang Kari Renyah,289.0,10.2,13.5,25.0,100.0
Flounder Dibungkus Bayam dan Salad Lentil Hangat dengan Saus Yogurt Mentimun,289.0,9.3,27.2,18.0,100.0
Sapi daging kornet,289.0,14.2,0.0,16.0,100.0
Sup Tunisia dengan Chard dan Mie Telur,289.0,1.1,21.0,13.0,100.0
"Salad Udang dan Mentimun Manis, Asam, dan Pedas",289.0,3.9,13.8,18.0,100.0
Onde-onde,288.6,7.2,44.3,8.3,100.0
Panggang Tiram dengan Crouton Lada,288.0,6.3,32.2,15.0,100.0
Pasta dengan Kerang,288.0,3.7,24.5,16.0,100.0
Roti Bakar Keju Kambing Herbal,288.0,17.0,12.8,12.0,100.0
Focaccia Empat Keju,288.0,11.0,28.5,12.0,100.0
Ziti Panggang dengan Bayam dan Tomat,288.0,14.4,18.5,13.0,100.0
Tortilla Gaya Basque dengan Tuna dan Tapenade,287.0,6.0,12.5,21.0,100.0
Salmon Panggang dengan Kerak Cranberry-Thyme,287.0,6.0,20.5,13.0,100.0
Sup Ayam dan Nasi ala Thailand,287.0,4.2,24.5,18.0,100.0
Udang dengan Saus Romesco,287.0,7.4,17.2,14.0,100.0
Tumis Sayuran Musim Semi,287.0,3.7,26.2,23.0,100.0
Ayam goreng (paha),287.0,25.5,1.7,31.0,100.0
Tartine Bit dan Keju Kambing,287.0,16.6,24.8,11.0,100.0
Nasi Liar dengan Lentil Hijau Prancis,287.0,5.2,31.5,11.0,100.0
Ayam goreng tepung (paha),286.0,22.7,1.1,32.1,100.0
"Barley, Swiss Chard, dan Sup Kacang Lima",286.0,0.2,23.8,23.0,100.0
Ikan jambal goreng,286.0,14.1,2.3,48.5,100.0
"Salad Udang, Jeruk, dan Zaitun dengan Sherry Vinaigrette",286.0,6.8,12.0,19.0,100.0
Singkong Goreng,285.0,11.6,28.0,1.0,100.0
Tahu Serai Pedas,285.0,13.2,10.8,11.0,100.0
Salad Sashimi dengan Kedelai dan Jeruk,285.0,9.5,16.8,14.0,100.0
Bakso Saus Merah,285.0,12.7,10.5,18.0,100.0
Oncom hitam goreng,284.0,14.1,13.6,12.0,100.0
Sup Kerang Santa Fe,284.0,0.5,24.2,22.0,100.0
Ayam goreng sukabumi (paha),283.0,22.8,0.5,35.7,100.0
Udang Perendam Jeruk dan Cengkih,283.0,0.6,13.0,24.0,100.0
Nasi Liar dengan Paprika Panggang dan Almond Panggang,283.0,14.5,32.8,11.0,100.0
Tiram dengan Tiga Salsa,283.0,9.7,22.5,19.0,100.0
Sup Sayuran Tuscan dengan Kacang Putih dan Parmesan,283.0,3.6,29.2,10.0,100.0
Sate Bandeng,283.0,7.0,20.9,12.1,100.0
Drumet Ayam Wijen,282.0,19.7,15.5,19.0,100.0
Udang Panggang dengan Saus Ponzu,282.0,14.3,14.8,22.0,100.0
Kurma deglet noor,282.0,13.5,75.0,2.4,100.0
Steak Rib-Eye dengan Salad Jagung Tomat Hangat,282.0,3.5,10.5,15.0,100.0
Salad Tuna Taman,282.0,2.4,28.2,13.0,100.0
Salade Chaude Aux Lentilles Avec Vinaigrette À La Moutarde,281.0,6.8,23.2,11.0,100.0
Sale Pisang Siam,281.0,1.3,66.1,2.4,100.0
Kentang Tumbuk dengan Fontina dan Peterseli Italia,281.0,11.5,28.8,10.0,100.0
Tart Keju Kambing dan Tomat,281.0,14.4,33.2,10.0,100.0
Brochette Kerang dengan Salsa Mangga-Tarragon,281.0,1.7,17.5,19.0,100.0
Souffle Bayam dengan Bawang Merah dan Keju Gouda Asap,281.0,19.2,11.2,14.0,100.0
Pizza Matzoh,280.0,7.1,16.5,13.0,100.0
Abon,280.0,8.1,0.0,9.2,100.0
Bakwan,280.0,15.0,39.0,8.2,100.0
Udang Goan Saus Kelapa Panggang,280.0,12.8,13.5,25.0,100.0
"Ikan Za'Atar Renyah dengan Couscous Israel, Swiss Chard, dan Feta",280.0,7.6,18.2,18.0,100.0
Salad Taman Musim Panas dengan Udang Cabai-Bawang Putih,279.0,8.7,13.0,23.0,100.0
Bawang Putih Hijau dan Daun Bawang Matzo Brei dengan Salmon Asap dan Krim Lobak,279.0,9.8,20.5,11.0,100.0
Dada Ayam dengan Tomat dan Caper,279.0,11.6,14.2,33.0,100.0
Roti Jagung Cabai Merah dan Keju Panggang Pedas,279.0,11.7,37.2,10.0,100.0
Sendok Roti,279.0,29.9,20.5,20.0,100.0
"Roti Pipih Panggang dengan Bawang Karamel, Sosis, dan Keju Manchego",279.0,10.8,27.5,13.0,100.0
Tilapia Panggang dengan Béarnaise Sabayon dan Baby Bok Choy,278.0,5.5,11.0,27.0,100.0
Gratin Asparagus,277.0,9.3,16.5,10.0,100.0
Purée Kacang Putih dengan Vinaigrette Bawang Putih dan Croutes,277.0,5.9,27.8,10.0,100.0
Salad Melon dan Ayam Asap,277.0,6.6,13.5,13.0,100.0
Arwan Sirsir / Sayur daun singkong (Kei),277.0,12.2,10.7,2.4,100.0
Baby Back Ribs Jahe dan Madu,277.0,12.3,13.5,13.0,100.0
Roti Bakar Provolone,277.0,13.5,28.2,14.0,100.0
Kurma medjool,277.0,12.9,75.0,1.8,100.0
Nasi goreng,276.0,11.4,30.2,3.2,100.0
Hummus Lada Merah,276.0,13.0,28.8,11.0,100.0
Sup Jamur dan Tiram,276.0,1.0,13.0,11.0,100.0
Telur Orak-Arik Gaya Basque Chez Gladines,276.0,14.0,17.0,16.0,100.0
Salad Kentang dengan Saus Kaviar Krim,276.0,6.8,25.5,12.0,100.0
Lodeh pepaya muda,275.0,0.1,30.2,11.6,100.0
Ayam goreng kalasan (paha),275.0,21.1,1.3,37.4,100.0
Lamb Rack dengan Lentil Beluga Kacang dan Bayam Bawang Putih Tumis,275.0,2.7,18.8,14.0,100.0
Crostini Anggur-Ricotta Pedas,275.0,0.4,34.0,10.0,100.0
